PrDM	T090C	T190C	C0S/m	C1S/m	Par	OxMm/Kg	Sal11	C2-C1S/m	T2-T190C	CStarTr0	Latitude	Longitude	FlECO-AFL	ModError	T2-T190C	Sal00	Sal11	SecS-priS	C2-C1S/m	DepSM	Sal00	Sal11	Sigma-t00	Sigma-t00	T2-T190C	C2-C1S/m	SecS-priS	Flag
49.502	-1.7421	-1.742	2.681665	2.681396	1.10E+01	294.315	33.943	-0.000265	0.0001	95.1915	-68.25802	-75.15876	0.3318	0	0.0001	33.9425	33.9387	-0.0038	-0.000269	49	33.9425	33.9387	27.3197	27.3197	0.0001	-0.000269	-0.0038	0.00E+00
50.512	-1.7461	-1.7455	2.681279	2.681049	1.04E+01	294.334	33.9406	-0.000227	0.0006	95.2527	-68.25802	-75.15876	0.2308	0	0.0006	33.9411	33.9372	-0.0039	-0.00023	50	33.9411	33.9372	27.3186	27.3186	0.0006	-0.00023	-0.0039	0.00E+00
51.523	-1.7365	-1.7353	2.682429	2.682288	9.93E+00	293.822	33.9439	-0.000139	0.0012	95.6023	-68.25802	-75.15876	0.2212	0	0.0012	33.9454	33.9421	-0.0033	-0.00014	51	33.9454	33.9421	27.3219	27.3219	0.0012	-0.00014	-0.0033	0.00E+00
52.533	-1.7341	-1.7338	2.682992	2.682756	9.54E+00	293.499	33.9477	-0.000233	0.0003	95.6503	-68.25802	-75.15876	0.2229	0	0.0003	33.9499	33.9463	-0.0036	-0.000236	52	33.9499	33.9463	27.3255	27.3255	0.0003	-0.000236	-0.0036	0.00E+00
53.543	-1.7197	-1.7195	2.684508	2.684281	9.09E+00	293.264	33.9512	-0.000225	0.0002	95.683	-68.25802	-75.15876	0.222	0	0.0002	33.9539	33.9505	-0.0034	-0.000226	53	33.9539	33.9505	27.3284	27.3284	0.0002	-0.000226	-0.0034	0.00E+00
54.554	-1.7391	-1.7392	2.683068	2.682777	8.71E+00	293.197	33.9526	-0.000283	0	95.7101	-68.25802	-75.15876	0.2135	0	0	33.9554	33.9514	-0.0039	-0.00029	54	33.9554	33.9514	27.3301	27.3301	0	-0.00029	-0.0039	0.00E+00
55.564	-1.7105	-1.7081	2.685685	2.685761	8.46E+00	292.59	33.9566	0.000069	0.0023	95.7423	-68.25802	-75.15876	0.2408	0	0.0023	33.9584	33.9568	-0.0017	0.000076	55	33.9584	33.9568	27.3318	27.3318	0.0023	0.000077	-0.0017	0.00E+00
56.575	-1.7206	-1.7217	2.685188	2.684807	8.00E+00	292.179	33.9587	-0.000375	-0.0011	95.7744	-68.25802	-75.15876	0.2253	0	-0.0011	33.9625	33.9584	-0.004	-0.00038	56	33.9625	33.9584	27.3354	27.3354	-0.0011	-0.00038	-0.004	0.00E+00
57.585	-1.741	-1.7403	2.683512	2.683339	7.58E+00	291.875	33.9594	-0.000172	0.0007	95.7303	-68.25802	-75.15876	0.2114	0	0.0007	33.9619	33.9587	-0.0032	-0.000173	57	33.9619	33.9587	27.3354	27.3354	0.0007	-0.000173	-0.0032	0.00E+00
58.595	-1.7452	-1.7447	2.683403	2.683209	7.29E+00	291.608	33.9619	-0.000194	0.0005	95.7864	-68.25802	-75.15876	0.1986	0	0.0006	33.9645	33.9612	-0.0033	-0.000194	58	33.9645	33.9612	27.3377	27.3377	0.0006	-0.000195	-0.0033	0.00E+00
59.606	-1.7258	-1.7259	2.685331	2.685096	6.97E+00	291.458	33.9653	-0.000233	-0.0001	95.8495	-68.25802	-75.15876	0.1834	0	-0.0001	33.9685	33.9653	-0.0032	-0.000235	59	33.9685	33.9653	27.3404	27.3404	-0.0001	-0.000235	-0.0032	0.00E+00
60.616	-1.7253	-1.7249	2.685504	2.685287	6.68E+00	291.086	33.9662	-0.000217	0.0004	95.8902	-68.25802	-75.15876	0.1998	0	0.0004	33.9697	33.9662	-0.0035	-0.000217	60	33.9697	33.9662	27.3413	27.3413	0.0004	-0.000217	-0.0035	0.00E+00
61.627	-1.7189	-1.718	2.686135	2.685981	6.45E+00	291.104	33.967	-0.000154	0.0009	95.839	-68.25802	-75.15876	0.2129	0	0.0009	33.9704	33.9673	-0.0032	-0.000154	61	33.9704	33.9673	27.3418	27.3418	0.0009	-0.000154	-0.0032	0.00E+00
62.637	-1.72	-1.7195	2.686248	2.686045	6.21E+00	291.396	33.9691	-0.000203	0.0005	95.8263	-68.25802	-75.15876	0.1996	0	0.0005	33.9727	33.9693	-0.0034	-0.000203	62	33.9727	33.9693	27.3437	27.3437	0.0005	-0.000203	-0.0034	0.00E+00
63.647	-1.7113	-1.7108	2.687089	2.686899	5.96E+00	291.395	33.9701	-0.000189	0.0005	95.893	-68.25802	-75.15876	0.1989	0	0.0005	33.9738	33.9706	-0.0032	-0.000189	63	33.9738	33.9706	27.3443	27.3443	0.0005	-0.000189	-0.0032	0.00E+00
64.658	-1.7004	-1.7	2.688167	2.68797	5.68E+00	291.196	33.9718	-0.000197	0.0004	95.8849	-68.25802	-75.15876	0.1983	0	0.0004	33.9757	33.9725	-0.0032	-0.000197	64	33.9757	33.9725	27.3456	27.3456	0.0004	-0.000197	-0.0032	0.00E+00
65.668	-1.7054	-1.7027	2.687783	2.687802	5.41E+00	290.042	33.9723	0.000017	0.0027	95.8309	-68.25802	-75.15876	0.2111	0	0.0027	33.9754	33.9726	-0.0028	0.000019	65	33.9754	33.9726	27.3454	27.3454	0.0027	0.000019	-0.0028	0.00E+00
66.679	-1.7061	-1.7057	2.688079	2.687885	5.22E+00	289.453	33.9763	-0.000189	0.0004	95.9018	-68.25802	-75.15876	0.2054	0	0.0004	33.9796	33.9765	-0.0031	-0.000194	66	33.9796	33.9765	27.3489	27.3489	0.0004	-0.000194	-0.0031	0.00E+00
67.689	-1.6976	-1.6966	2.689047	2.688863	5.00E+00	289.556	33.9786	-0.000184	0.001	95.8913	-68.25802	-75.15876	0.2023	0	0.001	33.9827	33.9791	-0.0036	-0.000184	67	33.9827	33.9791	27.3512	27.3512	0.001	-0.000184	-0.0036	0.00E+00
68.7	-1.6888	-1.6881	2.690028	2.689846	4.78E+00	289.765	33.9817	-0.00018	0.0007	95.8976	-68.25802	-75.15876	0.1804	0	0.0007	33.9857	33.9824	-0.0033	-0.000182	68	33.9857	33.9824	27.3534	27.3534	0.0007	-0.000182	-0.0033	0.00E+00
69.71	-1.6957	-1.6941	2.689555	2.689349	4.57E+00	288.909	33.9814	-0.000207	0.0016	95.9501	-68.25802	-75.15876	0.1798	0	0.0016	33.9864	33.9817	-0.0047	-0.000206	69	33.9864	33.9817	27.3541	27.3541	0.0016	-0.000206	-0.0047	0.00E+00
70.721	-1.7097	-1.7088	2.688565	2.688443	4.37E+00	288.737	33.9856	-0.000122	0.0009	95.9527	-68.25802	-75.15876	0.1982	0	0.0009	33.988	33.9853	-0.0027	-0.000122	70	33.988	33.9853	27.3558	27.3558	0.0009	-0.000122	-0.0027	0.00E+00
71.731	-1.6984	-1.6978	2.689669	2.689505	4.17E+00	289.05	33.9867	-0.000162	0.0006	95.926	-68.25802	-75.15876	0.1663	0	0.0006	33.9898	33.9868	-0.003	-0.000164	71	33.9898	33.9868	27.357	27.357	0.0006	-0.000164	-0.003	0.00E+00
72.742	-1.6212	-1.6198	2.696503	2.696501	4.02E+00	288.286	33.9916	-0.000003	0.0014	96.0115	-68.25802	-75.15876	0.1754	0	0.0014	33.9957	33.9941	-0.0017	-0.000002	72	33.9957	33.9941	27.3597	27.3597	0.0014	-0.000002	-0.0017	0.00E+00
73.752	-1.6499	-1.6493	2.69504	2.69485	3.89E+00	287.097	34.0035	-0.00019	0.0006	96.0261	-68.25802	-75.15876	0.1622	0	0.0006	34.0076	34.0043	-0.0033	-0.00019	73	34.0076	34.0043	27.3701	27.3701	0.0006	-0.00019	-0.0033	0.00E+00
74.763	-1.675	-1.6744	2.693061	2.692771	3.71E+00	286.971	34.0036	-0.000291	0.0006	96.0635	-68.25802	-75.15876	0.1395	0	0.0006	34.0083	34.0035	-0.0048	-0.00029	74	34.0083	34.0035	27.3713	27.3713	0.0006	-0.00029	-0.0048	0.00E+00
75.773	-1.6832	-1.6849	2.692284	2.691941	3.54E+00	284.503	34.0038	-0.00034	-0.0017	96.1556	-68.25802	-75.15876	0.1002	0	-0.0017	34.0062	34.0033	-0.0028	-0.000342	75	34.0062	34.0033	27.3698	27.3698	-0.0017	-0.000343	-0.0028	0.00E+00
76.783	-1.7202	-1.7186	2.689254	2.689175	3.42E+00	284.094	34.0043	-0.000083	0.0016	96.2446	-68.25802	-75.15876	0.0787	0	0.0016	34.0058	34.0029	-0.003	-0.000078	76	34.0058	34.0029	27.3705	27.3705	0.0016	-0.000078	-0.003	0.00E+00
77.794	-1.723	-1.7224	2.689128	2.688955	3.30E+00	283.998	34.0048	-0.000176	0.0006	96.2991	-68.25802	-75.15876	0.053	0	0.0006	34.0066	34.0034	-0.0032	-0.000174	77	34.0066	34.0034	27.3713	27.3713	0.0006	-0.000174	-0.0032	0.00E+00
78.804	-1.7194	-1.7189	2.689713	2.689529	3.19E+00	284.378	34.0079	-0.000186	0.0005	96.3392	-68.25802	-75.15876	0.0447	0	0.0005	34.01	34.0069	-0.0031	-0.000184	78	34.01	34.0069	27.3739	27.3739	0.0005	-0.000184	-0.0031	0.00E+00
79.815	-1.7114	-1.7107	2.690583	2.690429	3.06E+00	284.452	34.0098	-0.000155	0.0007	96.3416	-68.25802	-75.15876	0.0356	0	0.0007	34.0122	34.0093	-0.0029	-0.000153	79	34.0122	34.0093	27.3755	27.3755	0.0007	-0.000153	-0.0029	0.00E+00
80.826	-1.7024	-1.7021	2.691452	2.691195	2.91E+00	284.458	34.0096	-0.000256	0.0003	96.3653	-68.25802	-75.15876	0.0427	0	0.0003	34.0134	34.0095	-0.0039	-0.000257	80	34.0134	34.0095	27.3763	27.3763	0.0003	-0.000257	-0.0039	0.00E+00
