"","x"
"627","Acutus_14873.23661"
"628","Acutus_7200.1"
"629","Acutus_14873.13005"
"630","Acutus_14873.7755"
"631","Acutus_14873.16518"
"632","Acutus_14873.16300"
"633","Acutus_14873.3724"
"634","Acutus_14873.21521"
"635","Acutus_14873.21337"
"636","Acutus_14017.0"
"637","Acutus_14873.13897"
"638","Acutus_14873.37091"
"639","Acutus_14873.65711"
"640","Acutus_14873.36759"
"641","Acutus_14873.37619"
"642","Acutus_14873.31121"
"643","Acutus_22132.1"
"644","Acutus_14873.17959"
"645","Acutus_14873.26725"
"646","Acutus_14873.15452"
"647","Acutus_14873.26464"
"648","Acutus_14873.26474"
"649","Acutus_14873.21265"
"650","Acutus_14873.51794"
"651","Acutus_14873.17578"
"652","Acutus_14873.4649"
"653","Acutus_14873.22098"
"654","Acutus_14873.16982"
"655","Acutus_14873.29819"
"656","Acutus_14873.9904"
"657","Acutus_14873.15674"
"658","Acutus_14873.38775"
"659","Acutus_9684.1"
"660","Acutus_14873.23531"
"661","Acutus_14873.53218"
"662","Acutus_14873.41418"
"663","Acutus_14873.15019"
"664","Acutus_14873.8642"
"665","Acutus_14873.16822"
"666","Acutus_20574.0"
"667","Acutus_14873.59057"
"668","Acutus_14873.58739"
"669","Acutus_14873.11705"
"670","Acutus_21765.4"
"671","Acutus_14873.13109"
"672","Acutus_14873.66868"
"673","Acutus_14873.27408"
"674","Acutus_14873.11534"
"675","Acutus_14873.7519"
"676","Acutus_14873.19543"
"677","Acutus_14873.29149"
"678","Acutus_14873.44280"
"679","Acutus_22001.0"
"680","Acutus_14873.54574"
"681","Acutus_14873.45767"
"682","Acutus_13230.1"
"683","Acutus_15355.2"
"684","Acutus_14873.48059"
"685","Acutus_14873.62047"
"686","Acutus_19821.1"
"687","Acutus_10833.4"
"688","Acutus_14873.61449"
"689","Acutus_14873.16895"
"690","Acutus_19358.0"
"691","Acutus_18187.0"
"692","Acutus_14873.53857"
"693","Acutus_14873.32657"
"694","Acutus_14873.20036"
"695","Acutus_14873.26260"
"696","Acutus_14873.11305"
"697","Acutus_14873.24975"
"698","Acutus_14873.25275"
"699","Acutus_14873.16335"
"700","Acutus_2527.0"
"701","Acutus_14873.33469"
"702","Acutus_14873.15890"
"703","Acutus_14873.72760"
"704","Acutus_10609.0"
"705","Acutus_14873.32302"
"706","Acutus_14873.48118"
"707","Acutus_14873.600"
"708","Acutus_14873.48912"
"709","Acutus_14873.19790"
"710","Acutus_14873.53824"
"711","Acutus_14873.9945"
"712","Acutus_14873.34276"
"713","Acutus_14873.69173"
"714","Acutus_14873.67818"
"715","Acutus_14873.2406"
"716","Acutus_14873.11351"
"717","Acutus_14873.49342"
"718","Acutus_14873.40096"
"719","Acutus_16430.0"
"720","Acutus_14092.2"
"721","Acutus_16778.0"
"722","Acutus_9612.0"
"723","Acutus_14873.17686"
"724","Acutus_14873.13867"
"725","Acutus_12919.1"
"726","Acutus_13842.1"
"727","Acutus_14873.52668"
"728","Acutus_14873.12939"
"729","Acutus_14873.17476"
"730","Acutus_14873.15400"
"731","Acutus_14873.55742"
"732","Acutus_14873.12137"
"733","Acutus_23553.0"
"734","Acutus_14873.54757"
"735","Acutus_14873.2173"
"736","Acutus_14873.43263"
"737","Acutus_14873.37694"
"738","Acutus_14873.41551"
"739","Acutus_14873.19542"
"740","Acutus_14873.2102"
"741","Acutus_14873.55016"
"742","Acutus_24072.0"
"743","Acutus_14873.68660"
"744","Acutus_14873.47658"
"745","Acutus_14873.53952"
"746","Acutus_14873.14582"
"747","Acutus_14873.54050"
"748","Acutus_14873.14455"
"749","Acutus_14873.21627"
"750","Acutus_14873.74429"
"751","Acutus_14873.19495"
"752","Acutus_14873.5994"
"753","Acutus_22906.1"
"754","Acutus_14873.12120"
"755","Acutus_14873.22183"
"756","Acutus_14873.28998"
"757","Acutus_11052.0"
"758","Acutus_14873.18329"
"759","Acutus_14873.8302"
"760","Acutus_14873.13425"
"761","Acutus_14873.22706"
"762","Acutus_14873.62945"
"763","Acutus_14873.69869"
"764","Acutus_14873.40412"
"765","Acutus_14873.8373"
"766","Acutus_14873.49570"
"767","Acutus_14873.13168"
"768","Acutus_14873.48913"
"769","Acutus_23779.2"
"770","Acutus_14873.20909"
"771","Acutus_9052.0"
"772","Acutus_14873.26744"
"773","Acutus_14873.33046"
"774","Acutus_14873.22154"
"775","Acutus_14873.14980"
"776","Acutus_14873.13178"
"777","Acutus_14873.34838"
"778","Acutus_14873.193"
"779","Acutus_14873.55109"
"780","Acutus_14873.29334"
"781","Acutus_14873.43440"
"782","Acutus_14873.27131"
"783","Acutus_11731.1"
"784","Acutus_14873.7282"
"785","Acutus_14873.37232"
"786","Acutus_14873.16352"
"787","Acutus_14873.21361"
"788","Acutus_14873.15201"
"789","Acutus_14873.6793"
"790","Acutus_14873.45331"
"791","Acutus_14873.40101"
"792","Acutus_14873.7880"
"793","Acutus_14873.19273"
"794","Acutus_14873.27499"
"795","Acutus_14873.46665"
"796","Acutus_14873.27868"
"797","Acutus_9070.1"
"798","Acutus_9586.2"
"799","Acutus_14873.19757"
"800","Acutus_14873.14404"
"801","Acutus_14873.21492"
"802","Acutus_14873.27646"
"803","Acutus_14873.50010"
"804","Acutus_14873.32350"
"805","Acutus_14873.41891"
"806","Acutus_14873.19965"
"807","Acutus_14873.7096"
